日期,牌價幣別,商品重量,本行買入價格,本行賣出價格
20250919,新台幣(TWD),1公克,3523.000,3563.000
20250918,新台幣(TWD),1公克,3498.000,3538.000
20250917,新台幣(TWD),1公克,3524.000,3564.000
20250916,新台幣(TWD),1公克,3552.000,3592.000
20250915,新台幣(TWD),1公克,3515.000,3555.000
20250912,新台幣(TWD),1公克,3525.000,3565.000
20250911,新台幣(TWD),1公克,3514.000,3554.000
20250910,新台幣(TWD),1公克,3524.000,3564.000
20250909,新台幣(TWD),1公克,3535.000,3575.000
20250908,新台幣(TWD),1公克,3518.000,3558.000
20250905,新台幣(TWD),1公克,3464.000,3504.000
20250904,新台幣(TWD),1公克,3467.000,3507.000
20250903,新台幣(TWD),1公克,3469.000,3509.000
20250902,新台幣(TWD),1公克,3413.000,3452.000
20250901,新台幣(TWD),1公克,3401.000,3440.000
20250829,新台幣(TWD),1公克,3330.000,3368.000
20250828,新台幣(TWD),1公克,3316.000,3354.000
20250827,新台幣(TWD),1公克,3294.000,3332.000
20250826,新台幣(TWD),1公克,3288.000,3326.000
20250825,新台幣(TWD),1公克,3274.000,3312.000
20250822,新台幣(TWD),1公克,3259.000,3296.000
20250821,新台幣(TWD),1公克,3251.000,3288.000
20250820,新台幣(TWD),1公克,3221.000,3258.000
20250819,新台幣(TWD),1公克,3208.000,3245.000
20250818,新台幣(TWD),1公克,3222.000,3259.000
20250815,新台幣(TWD),1公克,3204.000,3241.000
20250814,新台幣(TWD),1公克,3219.000,3256.000
20250813,新台幣(TWD),1公克,3217.000,3254.000
20250812,新台幣(TWD),1公克,3207.000,3244.000
20250811,新台幣(TWD),1公克,3213.000,3251.000
20250808,新台幣(TWD),1公克,3235.000,3273.000
20250807,新台幣(TWD),1公克,3220.000,3258.000
20250806,新台幣(TWD),1公克,3230.000,3267.000
20250805,新台幣(TWD),1公克,3219.000,3257.000
20250804,新台幣(TWD),1公克,3207.000,3244.000
20250801,新台幣(TWD),1公克,3157.000,3194.000
20250731,新台幣(TWD),1公克,3147.000,3184.000
20250730,新台幣(TWD),1公克,3161.000,3198.000
20250729,新台幣(TWD),1公克,3142.000,3179.000
20250728,新台幣(TWD),1公克,3150.000,3187.000
20250725,新台幣(TWD),1公克,3158.000,3195.000
20250724,新台幣(TWD),1公克,3164.000,3201.000
20250723,新台幣(TWD),1公克,3216.000,3253.000
20250722,新台幣(TWD),1公克,3183.000,3220.000
20250721,新台幣(TWD),1公克,3165.000,3201.000
20250718,新台幣(TWD),1公克,3137.000,3173.000
20250717,新台幣(TWD),1公克,3134.000,3170.000
20250716,新台幣(TWD),1公克,3132.000,3168.000
20250715,新台幣(TWD),1公克,3146.000,3182.000
20250714,新台幣(TWD),1公克,3153.000,3189.000
20250711,新台幣(TWD),1公克,3112.000,3148.000
20250710,新台幣(TWD),1公克,3106.000,3142.000
20250709,新台幣(TWD),1公克,3066.000,3102.000
20250708,新台幣(TWD),1公克,3097.000,3133.000
20250707,新台幣(TWD),1公克,3074.000,3110.000
20250704,新台幣(TWD),1公克,3082.000,3118.000
20250703,新台幣(TWD),1公克,3096.000,3132.000
20250702,新台幣(TWD),1公克,3087.000,3123.000
20250701,新台幣(TWD),1公克,3107.000,3143.000
20250630,新台幣(TWD),1公克,3077.000,3113.000
20250627,新台幣(TWD),1公克,3037.000,3073.000
20250626,新台幣(TWD),1公克,3112.000,3149.000
20250625,新台幣(TWD),1公克,3126.000,3163.000
20250624,新台幣(TWD),1公克,3134.000,3171.000
20250623,新台幣(TWD),1公克,3184.000,3221.000
20250620,新台幣(TWD),1公克,3164.000,3201.000
20250619,新台幣(TWD),1公克,3175.000,3212.000
20250618,新台幣(TWD),1公克,3192.000,3229.000
20250617,新台幣(TWD),1公克,3194.000,3231.000
20250616,新台幣(TWD),1公克,3217.000,3254.000
20250613,新台幣(TWD),1公克,3228.000,3265.000
20250612,新台幣(TWD),1公克,3196.000,3233.000
20250611,新台幣(TWD),1公克,3189.000,3226.000
20250610,新台幣(TWD),1公克,3182.000,3219.000
20250609,新台幣(TWD),1公克,3182.000,3219.000
20250606,新台幣(TWD),1公克,3211.000,3248.000
20250605,新台幣(TWD),1公克,3223.000,3260.000
20250604,新台幣(TWD),1公克,3220.000,3257.000
20250603,新台幣(TWD),1公克,3219.000,3256.000
20250602,新台幣(TWD),1公克,3219.000,3256.000
20250529,新台幣(TWD),1公克,3138.000,3175.000
20250528,新台幣(TWD),1公克,3167.000,3204.000
20250527,新台幣(TWD),1公克,3164.000,3201.000
20250526,新台幣(TWD),1公克,3188.000,3225.000
20250523,新台幣(TWD),1公克,3194.000,3231.000
20250522,新台幣(TWD),1公克,3190.000,3227.000
20250521,新台幣(TWD),1公克,3192.000,3229.000
20250520,新台幣(TWD),1公克,3099.000,3135.000
20250519,新台幣(TWD),1公克,3118.000,3154.000
20250516,新台幣(TWD),1公克,3096.000,3133.000
20250515,新台幣(TWD),1公克,3034.000,3070.000
20250514,新台幣(TWD),1公克,3125.000,3162.000
20250513,新台幣(TWD),1公克,3174.000,3211.000
20250512,新台幣(TWD),1公克,3143.000,3180.000
20250509,新台幣(TWD),1公克,3223.000,3261.000
20250508,新台幣(TWD),1公克,3231.000,3269.000
20250507,新台幣(TWD),1公克,3279.000,3317.000
20250506,新台幣(TWD),1公克,3253.000,3290.000
20250505,新台幣(TWD),1公克,3130.000,3167.000
20250502,新台幣(TWD),1公克,3238.000,3275.000
20250430,新台幣(TWD),1公克,3379.000,3419.000
20250429,新台幣(TWD),1公克,3413.000,3453.000
20250428,新台幣(TWD),1公克,3412.000,3452.000
20250425,新台幣(TWD),1公克,3444.000,3484.000
20250424,新台幣(TWD),1公克,3464.000,3505.000
20250423,新台幣(TWD),1公克,3437.000,3477.000
20250422,新台幣(TWD),1公克,3611.000,3652.000
20250421,新台幣(TWD),1公克,3523.000,3564.000
20250418,新台幣(TWD),1公克,3473.000,3513.000
20250417,新台幣(TWD),1公克,3452.000,3492.000
20250416,新台幣(TWD),1公克,3427.000,3467.000
20250415,新台幣(TWD),1公克,3344.000,3383.000
20250414,新台幣(TWD),1公克,3351.000,3390.000
20250411,新台幣(TWD),1公克,3350.000,3389.000
20250410,新台幣(TWD),1公克,3272.000,3310.000
20250409,新台幣(TWD),1公克,3216.000,3254.000
20250408,新台幣(TWD),1公克,3174.000,3212.000
20250407,新台幣(TWD),1公克,3190.000,3228.000
20250402,新台幣(TWD),1公克,3303.000,3342.000
20250401,新台幣(TWD),1公克,3329.000,3368.000
20250331,新台幣(TWD),1公克,3312.000,3351.000
20250328,新台幣(TWD),1公克,3266.000,3304.000
20250327,新台幣(TWD),1公克,3208.000,3246.000
20250326,新台幣(TWD),1公克,3199.000,3237.000
20250325,新台幣(TWD),1公克,3189.000,3227.000
20250324,新台幣(TWD),1公克,3194.000,3232.000
20250321,新台幣(TWD),1公克,3195.000,3233.000
20250320,新台幣(TWD),1公克,3211.000,3249.000
20250319,新台幣(TWD),1公克,3209.000,3247.000
20250318,新台幣(TWD),1公克,3179.000,3216.000
20250317,新台幣(TWD),1公克,3152.000,3189.000
20250314,新台幣(TWD),1公克,3142.000,3179.000
20250313,新台幣(TWD),1公克,3090.000,3127.000
20250312,新台幣(TWD),1公克,3065.000,3102.000
20250311,新台幣(TWD),1公克,3045.000,3082.000
20250310,新台幣(TWD),1公克,3063.000,3100.000
20250307,新台幣(TWD),1公克,3056.000,3093.000
20250306,新台幣(TWD),1公克,3064.000,3101.000
20250305,新台幣(TWD),1公克,3057.000,3094.000
20250304,新台幣(TWD),1公克,3043.000,3080.000
20250303,新台幣(TWD),1公克,3012.000,3049.000
20250227,新台幣(TWD),1公克,3036.000,3073.000
20250226,新台幣(TWD),1公克,3050.000,3087.000
20250225,新台幣(TWD),1公克,3081.000,3118.000
20250224,新台幣(TWD),1公克,3074.000,3111.000
20250221,新台幣(TWD),1公克,3069.000,3106.000
20250220,新台幣(TWD),1公克,3089.000,3125.000
20250219,新台幣(TWD),1公克,3071.000,3107.000
20250218,新台幣(TWD),1公克,3053.000,3089.000
20250217,新台幣(TWD),1公克,3029.000,3065.000
20250214,新台幣(TWD),1公克,3077.000,3113.000
20250213,新台幣(TWD),1公克,3058.000,3094.000
20250212,新台幣(TWD),1公克,3036.000,3072.000
20250211,新台幣(TWD),1公克,3059.000,3095.000
20250210,新台幣(TWD),1公克,3031.000,3067.000
20250208,新台幣(TWD),1公克,3002.000,3038.000
20250207,新台幣(TWD),1公克,2996.000,3032.000
20250206,新台幣(TWD),1公克,2999.000,3035.000
20250205,新台幣(TWD),1公克,2999.000,3035.000
20250204,新台幣(TWD),1公克,2970.000,3006.000
20250203,新台幣(TWD),1公克,2941.000,2976.000
20250124,新台幣(TWD),1公克,2894.000,2929.000
20250123,新台幣(TWD),1公克,2878.000,2913.000
20250122,新台幣(TWD),1公克,2876.000,2911.000
20250121,新台幣(TWD),1公克,2853.000,2887.000
20250120,新台幣(TWD),1公克,2834.000,2868.000
20250117,新台幣(TWD),1公克,2851.000,2885.000
20250116,新台幣(TWD),1公克,2837.000,2871.000
20250115,新台幣(TWD),1公克,2833.000,2867.000
20250114,新台幣(TWD),1公克,2814.000,2848.000
20250113,新台幣(TWD),1公克,2842.000,2876.000
20250110,新台幣(TWD),1公克,2819.000,2853.000
20250109,新台幣(TWD),1公克,2804.000,2838.000
20250108,新台幣(TWD),1公克,2787.000,2821.000
